File,Line,Column,Error_Code,Description,Message
init_db.py,29,1,W293,Whitespace,blank line contains whitespace
init_db.py,32,1,W293,Whitespace,blank line contains whitespace
init_db.py,41,9,F841,Name errors,local variable 'e' is assigned to but never used
init_db.py,42,80,E501,Line length,line too long (89 > 79 characters)
init_db.py,47,1,W293,Whitespace,blank line contains whitespace
init_db.py,58,1,E305,Blank lines,"expected 2 blank lines after class or function definition, found 1"
services/album_service.py,1,1,D100,Missing docstrings,Missing docstring in public module
services/album_service.py,2,77,W291,Whitespace,trailing whitespace
services/album_service.py,3,2,W291,Whitespace,trailing whitespace
services/album_service.py,4,80,E501,Line length,line too long (156 > 79 characters)
services/album_service.py,6,80,E501,Line length,line too long (111 > 79 characters)
services/album_service.py,9,1,I101,Other,"Imported names are in the wrong order. Should be Depends, FastAPI, HTTPException"
services/album_service.py,10,1,I201,Other,"Missing newline between import groups. 'from sqlalchemy.orm import Session' is identified as Third Party and 'from fastapi import FastAPI, Depends, HTTPException' is identified as Third Party."
services/album_service.py,11,1,I100,Other,Import statements are in the wrong order. 'from shared.database import get_db' should be before 'from sqlalchemy.orm import Session' and in a different group.
services/album_service.py,11,1,I201,Other,Missing newline between import groups. 'from shared.database import get_db' is identified as Third Party and 'from sqlalchemy.orm import Session' is identified as Third Party.
services/album_service.py,13,1,I100,Other,"Import statements are in the wrong order. 'from services.musicbrainz_service import MusicBrainzService' should be before 'from shared.models import Album, Artist, Track' and in a different group."
services/album_service.py,13,1,I201,Other,"Missing newline between import groups. 'from services.musicbrainz_service import MusicBrainzService' is identified as Third Party and 'from shared.models import Album, Artist, Track' is identified as Third Party."
services/album_service.py,14,1,I100,Other,Import statements are in the wrong order. 'from prometheus_fastapi_instrumentator import Instrumentator' should be before 'from services.musicbrainz_service import MusicBrainzService' and in a different group.
services/album_service.py,14,1,I201,Other,Missing newline between import groups. 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party and 'from services.musicbrainz_service import MusicBrainzService' is identified as Third Party.
services/album_service.py,15,1,I201,Other,Missing newline between import groups. 'import uvicorn' is identified as Third Party and 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party.
services/album_service.py,16,1,I100,Other,Import statements are in the wrong order. 'import logging' should be before 'import uvicorn' and in a different group.
services/album_service.py,16,1,I201,Other,Missing newline between import groups. 'import logging' is identified as Stdlib and 'import uvicorn' is identified as Third Party.
services/album_service.py,28,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/album_service.py,29,1,D103,Missing docstrings,Missing docstring in public function
services/album_service.py,32,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/album_service.py,33,1,C901,Complexity,'search_albums' is too complex (13)
services/album_service.py,33,80,E501,Line length,line too long (112 > 79 characters)
services/album_service.py,33,96,B008,Other,"Do not perform function calls in argument defaults.  The call is performed only once at function definition time. All calls to your function will reuse the result of that definition-time function call.  If this is intended, assign the function call to a module-level variable and use that variable as a default value."
services/album_service.py,34,1,D400,Docstring content,First line should end with a period
services/album_service.py,36,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,41,80,E501,Line length,line too long (86 > 79 characters)
services/album_service.py,42,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,45,80,E501,Line length,line too long (87 > 79 characters)
services/album_service.py,47,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,49,80,E501,Line length,line too long (84 > 79 characters)
services/album_service.py,57,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,69,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,71,80,E501,Line length,line too long (81 > 79 characters)
services/album_service.py,72,80,E501,Line length,line too long (90 > 79 characters)
services/album_service.py,73,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,80,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,83,80,E501,Line length,line too long (105 > 79 characters)
services/album_service.py,87,80,E501,Line length,line too long (84 > 79 characters)
services/album_service.py,89,80,E501,Line length,line too long (87 > 79 characters)
services/album_service.py,94,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,97,80,E501,Line length,line too long (99 > 79 characters)
services/album_service.py,98,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,100,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,102,80,E501,Line length,line too long (90 > 79 characters)
services/album_service.py,105,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,108,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/album_service.py,109,1,C901,Complexity,'get_album' is too complex (13)
services/album_service.py,109,44,B008,Other,"Do not perform function calls in argument defaults.  The call is performed only once at function definition time. All calls to your function will reuse the result of that definition-time function call.  If this is intended, assign the function call to a module-level variable and use that variable as a default value."
services/album_service.py,110,1,D400,Docstring content,First line should end with a period
services/album_service.py,112,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,115,80,E501,Line length,line too long (86 > 79 characters)
services/album_service.py,116,80,E501,Line length,line too long (85 > 79 characters)
services/album_service.py,117,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,120,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,123,80,E501,Line length,line too long (88 > 79 characters)
services/album_service.py,125,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,127,80,E501,Line length,line too long (94 > 79 characters)
services/album_service.py,128,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,137,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,149,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,157,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,159,80,E501,Line length,line too long (97 > 79 characters)
services/album_service.py,170,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,173,80,E501,Line length,line too long (96 > 79 characters)
services/album_service.py,174,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,178,80,E501,Line length,line too long (92 > 79 characters)
services/album_service.py,179,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,181,80,E501,Line length,line too long (98 > 79 characters)
services/album_service.py,182,1,W293,Whitespace,blank line contains whitespace
services/album_service.py,201,1,E305,Blank lines,"expected 2 blank lines after class or function definition, found 1"
services/album_service.py,202,48,W292,Whitespace,no newline at end of file
services/artist_service.py,1,1,D100,Missing docstrings,Missing docstring in public module
services/artist_service.py,2,77,W291,Whitespace,trailing whitespace
services/artist_service.py,3,2,W291,Whitespace,trailing whitespace
services/artist_service.py,4,80,E501,Line length,line too long (132 > 79 characters)
services/artist_service.py,6,80,E501,Line length,line too long (111 > 79 characters)
services/artist_service.py,9,1,I101,Other,"Imported names are in the wrong order. Should be Depends, FastAPI, HTTPException"
services/artist_service.py,10,1,I201,Other,"Missing newline between import groups. 'from sqlalchemy.orm import Session' is identified as Third Party and 'from fastapi import FastAPI, Depends, HTTPException' is identified as Third Party."
services/artist_service.py,11,1,I100,Other,Import statements are in the wrong order. 'from shared.database import get_db' should be before 'from sqlalchemy.orm import Session' and in a different group.
services/artist_service.py,11,1,I201,Other,Missing newline between import groups. 'from shared.database import get_db' is identified as Third Party and 'from sqlalchemy.orm import Session' is identified as Third Party.
services/artist_service.py,12,1,I101,Other,"Imported names are in the wrong order. Should be Album, Artist"
services/artist_service.py,12,1,F401,Import errors,'shared.models.Album' imported but unused
services/artist_service.py,13,1,I100,Other,"Import statements are in the wrong order. 'from services.musicbrainz_service import MusicBrainzService' should be before 'from shared.models import Artist, Album' and in a different group."
services/artist_service.py,13,1,I201,Other,"Missing newline between import groups. 'from services.musicbrainz_service import MusicBrainzService' is identified as Third Party and 'from shared.models import Artist, Album' is identified as Third Party."
services/artist_service.py,14,1,I100,Other,Import statements are in the wrong order. 'from prometheus_fastapi_instrumentator import Instrumentator' should be before 'from services.musicbrainz_service import MusicBrainzService' and in a different group.
services/artist_service.py,14,1,I201,Other,Missing newline between import groups. 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party and 'from services.musicbrainz_service import MusicBrainzService' is identified as Third Party.
services/artist_service.py,15,1,I201,Other,Missing newline between import groups. 'import uvicorn' is identified as Third Party and 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party.
services/artist_service.py,16,1,I100,Other,Import statements are in the wrong order. 'import logging' should be before 'import uvicorn' and in a different group.
services/artist_service.py,16,1,I201,Other,Missing newline between import groups. 'import logging' is identified as Stdlib and 'import uvicorn' is identified as Third Party.
services/artist_service.py,31,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/artist_service.py,32,1,D103,Missing docstrings,Missing docstring in public function
services/artist_service.py,35,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/artist_service.py,36,63,B008,Other,"Do not perform function calls in argument defaults.  The call is performed only once at function definition time. All calls to your function will reuse the result of that definition-time function call.  If this is intended, assign the function call to a module-level variable and use that variable as a default value."
services/artist_service.py,37,1,D400,Docstring content,First line should end with a period
services/artist_service.py,40,1,W293,Whitespace,blank line contains whitespace
services/artist_service.py,44,80,E501,Line length,line too long (93 > 79 characters)
services/artist_service.py,45,1,W293,Whitespace,blank line contains whitespace
services/artist_service.py,54,80,E501,Line length,line too long (81 > 79 characters)
services/artist_service.py,62,1,W293,Whitespace,blank line contains whitespace
services/artist_service.py,66,80,E501,Line length,line too long (87 > 79 characters)
services/artist_service.py,68,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/artist_service.py,69,46,B008,Other,"Do not perform function calls in argument defaults.  The call is performed only once at function definition time. All calls to your function will reuse the result of that definition-time function call.  If this is intended, assign the function call to a module-level variable and use that variable as a default value."
services/artist_service.py,70,1,D400,Docstring content,First line should end with a period
services/artist_service.py,74,1,W293,Whitespace,blank line contains whitespace
services/artist_service.py,80,1,W293,Whitespace,blank line contains whitespace
services/artist_service.py,93,1,W293,Whitespace,blank line contains whitespace
services/artist_service.py,107,80,E501,Line length,line too long (87 > 79 characters)
services/artist_service.py,109,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/artist_service.py,110,65,B008,Other,"Do not perform function calls in argument defaults.  The call is performed only once at function definition time. All calls to your function will reuse the result of that definition-time function call.  If this is intended, assign the function call to a module-level variable and use that variable as a default value."
services/artist_service.py,110,80,E501,Line length,line too long (81 > 79 characters)
services/artist_service.py,111,1,D400,Docstring content,First line should end with a period
services/artist_service.py,114,80,E501,Line length,line too long (101 > 79 characters)
services/artist_service.py,115,80,E501,Line length,line too long (130 > 79 characters)
services/artist_service.py,118,80,E501,Line length,line too long (87 > 79 characters)
services/artist_service.py,120,1,E305,Blank lines,"expected 2 blank lines after class or function definition, found 1"
services/musicbrainz_service.py,1,1,D100,Missing docstrings,Missing docstring in public module
services/musicbrainz_service.py,2,77,W291,Whitespace,trailing whitespace
services/musicbrainz_service.py,3,2,W291,Whitespace,trailing whitespace
services/musicbrainz_service.py,4,80,E501,Line length,line too long (99 > 79 characters)
services/musicbrainz_service.py,6,80,E501,Line length,line too long (111 > 79 characters)
services/musicbrainz_service.py,10,1,I100,Other,Import statements are in the wrong order. 'import time' should be before 'import requests' and in a different group.
services/musicbrainz_service.py,10,1,I201,Other,Missing newline between import groups. 'import time' is identified as Stdlib and 'import requests' is identified as Third Party.
services/musicbrainz_service.py,12,1,I100,Other,"Import statements are in the wrong order. 'import logging' should be before 'from typing import Dict, List, Optional'"
services/musicbrainz_service.py,17,1,D101,Missing docstrings,Missing docstring in public class
services/musicbrainz_service.py,17,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/musicbrainz_service.py,19,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,20,1,D107,Missing docstrings,Missing docstring in __init__
services/musicbrainz_service.py,20,80,E501,Line length,line too long (98 > 79 characters)
services/musicbrainz_service.py,24,80,E501,Line length,line too long (83 > 79 characters)
services/musicbrainz_service.py,25,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,27,1,D400,Docstring content,First line should end with a period
services/musicbrainz_service.py,30,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,39,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,41,1,D400,Docstring content,First line should end with a period
services/musicbrainz_service.py,48,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,49,80,E501,Line length,line too long (86 > 79 characters)
services/musicbrainz_service.py,50,1,D400,Docstring content,First line should end with a period
services/musicbrainz_service.py,53,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,54,80,E501,Line length,line too long (90 > 79 characters)
services/musicbrainz_service.py,55,1,D400,Docstring content,First line should end with a period
services/musicbrainz_service.py,58,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,59,80,E501,Line length,line too long (107 > 79 characters)
services/musicbrainz_service.py,60,1,D400,Docstring content,First line should end with a period
services/musicbrainz_service.py,66,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,69,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,76,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,77,80,E501,Line length,line too long (103 > 79 characters)
services/musicbrainz_service.py,78,1,D400,Docstring content,First line should end with a period
services/musicbrainz_service.py,84,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,87,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,94,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,95,80,E501,Line length,line too long (100 > 79 characters)
services/musicbrainz_service.py,96,1,D400,Docstring content,First line should end with a period
services/musicbrainz_service.py,99,1,W293,Whitespace,blank line contains whitespace
services/musicbrainz_service.py,100,80,E501,Line length,line too long (83 > 79 characters)
services/musicbrainz_service.py,101,1,D400,Docstring content,First line should end with a period
services/recommendation_service.py,1,1,D100,Missing docstrings,Missing docstring in public module
services/recommendation_service.py,2,77,W291,Whitespace,trailing whitespace
services/recommendation_service.py,3,2,W291,Whitespace,trailing whitespace
services/recommendation_service.py,4,80,E501,Line length,line too long (116 > 79 characters)
services/recommendation_service.py,6,80,E501,Line length,line too long (111 > 79 characters)
services/recommendation_service.py,9,1,I101,Other,"Imported names are in the wrong order. Should be Depends, FastAPI, HTTPException"
services/recommendation_service.py,10,1,I201,Other,"Missing newline between import groups. 'from pydantic import BaseModel' is identified as Third Party and 'from fastapi import FastAPI, HTTPException, Depends' is identified as Third Party."
services/recommendation_service.py,11,1,I201,Other,Missing newline between import groups. 'from sqlalchemy.orm import Session' is identified as Third Party and 'from pydantic import BaseModel' is identified as Third Party.
services/recommendation_service.py,12,1,I100,Other,Import statements are in the wrong order. 'from shared.database import get_db' should be before 'from sqlalchemy.orm import Session' and in a different group.
services/recommendation_service.py,12,1,I201,Other,Missing newline between import groups. 'from shared.database import get_db' is identified as Third Party and 'from sqlalchemy.orm import Session' is identified as Third Party.
services/recommendation_service.py,14,1,I100,Other,Import statements are in the wrong order. 'from prometheus_fastapi_instrumentator import Instrumentator' should be before 'from shared.models import UserProfile' and in a different group.
services/recommendation_service.py,14,1,I201,Other,Missing newline between import groups. 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party and 'from shared.models import UserProfile' is identified as Third Party.
services/recommendation_service.py,15,1,I201,Other,Missing newline between import groups. 'import uvicorn' is identified as Third Party and 'from prometheus_fastapi_instrumentator import Instrumentator' is identified as Third Party.
services/recommendation_service.py,16,1,I100,Other,Import statements are in the wrong order. 'import logging' should be before 'import uvicorn' and in a different group.
services/recommendation_service.py,16,1,I201,Other,Missing newline between import groups. 'import logging' is identified as Stdlib and 'import uvicorn' is identified as Third Party.
services/recommendation_service.py,17,1,I201,Other,Missing newline between import groups. 'import requests' is identified as Third Party and 'import logging' is identified as Stdlib.
services/recommendation_service.py,18,1,I100,Other,Import statements are in the wrong order. 'import time' should be before 'import requests' and in a different group.
services/recommendation_service.py,18,1,I201,Other,Missing newline between import groups. 'import time' is identified as Stdlib and 'import requests' is identified as Third Party.
services/recommendation_service.py,19,1,I100,Other,Import statements are in the wrong order. 'import json' should be before 'import time'
services/recommendation_service.py,21,1,I101,Other,"Imported names are in the wrong order. Should be Dict, List, Optional, Set"
services/recommendation_service.py,21,1,F401,Import errors,'typing.Set' imported but unused
services/recommendation_service.py,22,1,I100,Other,"Import statements are in the wrong order. 'from collections import defaultdict' should be before 'from typing import List, Dict, Set, Optional'"
services/recommendation_service.py,23,1,I100,Other,Import statements are in the wrong order. 'import random' should be before 'from collections import defaultdict'
services/recommendation_service.py,24,1,I201,Other,"Missing newline between import groups. 'from sqlalchemy import create_engine, text' is identified as Third Party and 'import random' is identified as Stdlib."
services/recommendation_service.py,24,1,F401,Import errors,'sqlalchemy.text' imported but unused
services/recommendation_service.py,25,1,I100,Other,"Import statements are in the wrong order. 'from datetime import datetime, timezone' should be before 'from sqlalchemy import create_engine, text' and in a different group."
services/recommendation_service.py,25,1,I201,Other,"Missing newline between import groups. 'from datetime import datetime, timezone' is identified as Stdlib and 'from sqlalchemy import create_engine, text' is identified as Third Party."
services/recommendation_service.py,25,1,F401,Import errors,'datetime.datetime' imported but unused
services/recommendation_service.py,26,1,I100,Other,"Import statements are in the wrong order. 'import traceback' should be before 'from datetime import datetime, timezone'"
services/recommendation_service.py,31,1,D103,Missing docstrings,Missing docstring in public function
services/recommendation_service.py,31,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/recommendation_service.py,32,80,E501,Line length,line too long (101 > 79 characters)
services/recommendation_service.py,35,1,E305,Blank lines,"expected 2 blank lines after class or function definition, found 1"
services/recommendation_service.py,40,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/recommendation_service.py,41,1,D204,Docstring format,1 blank line required after class docstring
services/recommendation_service.py,43,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,49,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,55,1,D101,Missing docstrings,Missing docstring in public class
services/recommendation_service.py,55,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/recommendation_service.py,56,1,D107,Missing docstrings,Missing docstring in __init__
services/recommendation_service.py,61,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,62,1,D102,Missing docstrings,Missing docstring in public method
services/recommendation_service.py,62,80,E501,Line length,line too long (83 > 79 characters)
services/recommendation_service.py,71,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,74,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,77,80,E501,Line length,line too long (86 > 79 characters)
services/recommendation_service.py,78,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,80,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,86,1,E305,Blank lines,"expected 2 blank lines after class or function definition, found 1"
services/recommendation_service.py,91,80,E501,Line length,line too long (83 > 79 characters)
services/recommendation_service.py,92,80,E501,Line length,line too long (84 > 79 characters)
services/recommendation_service.py,95,80,E501,Line length,line too long (89 > 79 characters)
services/recommendation_service.py,96,80,E501,Line length,line too long (94 > 79 characters)
services/recommendation_service.py,99,80,E501,Line length,line too long (85 > 79 characters)
services/recommendation_service.py,104,80,E501,Line length,line too long (82 > 79 characters)
services/recommendation_service.py,132,1,C901,Complexity,'detect_genre_enhanced' is too complex (11)
services/recommendation_service.py,132,1,E302,Blank lines,"expected 2 blank lines, found 1"
services/recommendation_service.py,133,1,D400,Docstring content,First line should end with a period
services/recommendation_service.py,135,1,W293,Whitespace,blank line contains whitespace
services/recommendation_service.py,137,80,E501,Line length,line too long (118 > 79 characters)
services/recommendation_service.py,139,80,E501,Line length,line too long (97 > 79 characters)
services/recommendation_service.py,141,80,E501,Line length,line too long (98 > 79 characters)
services/recommendation_service.py,143,80,E501,Line length,line too long (90 > 79 characters)
services/recommendation_service.py,145,80,E501,Line length,line too long (107 > 79 characters)
services/recommendation_service.py,147,80,E501,Line length,line too long (92 > 79 characters)
services/recommendation_service.py,151,80,E501,Line length,line too long (88 > 79 characters)
services/recommendation_service.py,153,80,E501,Line length,line too long (90 > 79 characters)
